Protein,Cluster
P55036,3
O00231,2
P09211,5
O00194,3
Q7Z6M1,1
P78347,6
Q9Y6K8,6
Q92793,5
O94973,8
O60763,3
P41182.1,1
Q9BQ69,1
O75116,3
Q96T60,3
Q9NRA1,1
P05112,6
Q06190,1
P22607,4
P08246,7
P07333,4
Q01344,1
P21695.1,5
P42701,1
Q14515,4
O60259,3
P00734,4
Q15485,7
Q16552,6
O96013,2
P24158,3
P02748,7
P22301,1
P53634,4
P29460.1,1
Q9GZX6,3
P80075,1
Q16851,1
O95363,3
O75899,1
O43432,1
Q9H4G0,8
P21815,5
Q8N474,5
P23560,4
Q99958,1
P01215,5
Q15080,1
Q86UL8,1
P02790,7
P35225,1
Q92484,1
P24592,7
P49771,1
Q99075,5
P26718,1
P01374,3
P26992,1
P01137,5
P35318,3
Q9H7M9,4
P01574,1
P52799,4
Q9UM44,1
P05161,5
O95396,3
O95644,1
P35243,1
Q9NY15,1
P55854,8
P22888,6
Q9UKS6,6
P35236,6
Q15828,7
P20160,1
P02788,1
P13598,4
Q9Y696,8
P02792,4
O60242,1
Q8N8U9,3
Q16832,1
P12104,3
P08637,3
P22466,1
P09488,1
P00338,7
P36952,1
Q99519,5
P58215,4
P00480,5
Q13519,6
P48594,1
Q02297,5
P27487,3
Q13526,2
O75882,3
Q16651,3
P0DJI8,4
P13716,8
P21757,4
P63098,4
P08236,5
P51911,5
P20963,1
P20023,8
O14594,3
P02774,7
P07203,2
Q92743,8
O94992,2
P08887,5
P08727,3
P23443,3
Q8N2Q7,3
P31749,2
Q9H3U7,5
Q03692,1
P12643,1
P12644,1
P15056,3
Q7Z5L3,1
P06401,2
P24298,5
P29353,2
Q9BXR6,7
P11717,4
O75791,3
Q9BXB1,1
Q9UK85,1
P37023,1
P17096,6
P51692,1
P50583,2
P11021,8
P15121,2
P06396,7
P13929,1
Q07108,6
O76074,8
Q9H5V8,3
O43819,1
Q13822,3
Q8N3J6,1
O15455,1
P05186,3
P30043,7
O15075,5
P55075,1
P10092,6
O75475,8
Q9NWT6,1
Q9HD40,6
Q96GG9,5
Q13541,1
P61086,7
P09601,3
Q6FHJ7,8
P00450,5
P20591,1
Q96CM8,3
Q9UMX1,3
Q9NTG7,3
P37108,3
P15529,3
P06727,7
Q86XR7,1
P22309,1
Q16890,6
P78540,1
P08134,2
P14598,1
O15205,3
O15305,2
Q9NVS9,1
O60551,3
P62316,1
Q14790,6
Q14790.1,1
P05062,5
P50440,2
Q9NRV9,7
Q8N6N6,1
Q8IX03,3
Q9H900,5
P13995,3
Q14194,1
P28070,1
Q9Y617,4
P02768,7
O43687,3
Q96Q83,1
P56377,3
Q9HBK9,6
P12830,1
P62380,1
Q13427,3
Q9NUU7,1
P83916,1
P45877,8
Q96EQ0,1
P01266,6
Q9UIV8,3
P49715,6
P02461,8
Q9H4D0,1
Q9UDY4,2
Q8IZP7,1
P28066,3
P25788,1
O94813,4
O75094,5
P28065,3
Q8N8N7,5
P35638,1
P13861,1
P50452,3
Q9UHV8,3
P41236,4
Q15777,1
P07093,4
O43586,1
O43427,3
Q7L9L4,2
O95630,3
P54578,7
Q06187,8
P36639,1
P55263,3
P61020,8
O95816,1
P53999,1
P61077,1
P06132,5
P11413,2
Q9UQB8,1
Q9Y3A3,3
P61978,2
Q92506,3
Q99497,8
Q99497.1,3
Q86Z14,1
O75096,3
P40933,1
P55075.1,6
P53567,6
P19235,1
O60496,8
P31371,1
Q96E17,8
Q92994,1
Q15700,2
P08476,8
P01270,6
P00813,5
P24864,5
Q96EB6,4
P01116,6
Q15907,2
Q969T4,3
P20827,5
P19320,4
O15527,6
Q86WK6,1
P14136,6
Q15560,1
P13591,7
P09871,8
P42229,5
Q9BX74,1
O00161,5
Q6GMV3,3
Q99828,4
Q9NXJ5,3
A6NKN8,1
O14645,6
Q9P2X3,3
P43121,3
Q13145,1
Q14126,7
Q92520,6
Q8NFY4,3
Q8WTV0,1
Q96AP7,2
P30988,3
Q86UN2,3
Q9P121,4
Q9UQ52,3
P43220.1,1
P09234,1
Q8TF65,3
P18846,1
Q9GZZ1,8
Q9ULC3,2
P62263,1
Q96LD8,1
Q9H9R9,3
Q14206,6
Q9BZL1,2
Q96G28,2
Q9NZL4,3
Q7Z5W3,8
Q8TBC4,6
Q13084,1
A2RUC4,2
Q9NS37,1
O00141,1
Q8WUK0,1
Q96B02,1
Q9NSI8,1
Q6ICB0,1
P50453,2
P50225,2
P62913,1
Q9BTZ2,3
Q6IN84,6
Q4VC05,1
Q8TD30,1
Q16612,6
Q96DH6,3
Q96F24,1
Q8TBN0,3
Q8TCS8,2
Q9H777,3
Q16819,2
O14917,3
P49815,1
Q16584,4
P47712,2
O00429,4
Q99717,2
Q9UL45,1
Q16853,7
P55210,1
Q86SG5,1
Q13451,3
Q14896,6
P56962,5
Q9BTM9,3
Q8IXL6,7
Q01064,1
O00308,1
P05120,3
P43146,8
P55290,3
P78509,4
Q495W5,1
O94782,6
Q92560,6
Q9HC62,6
Q92772,2
Q5JSQ8,5
P18615,1
P17081,2
P43308,6
Q712K3,4
Q9H8U3,1
Q8IUK8,3
P03951,4
P41226,8
Q9UBV4,1
P46379,2
P28845,4
P11215,1
P06858,5
P29474,1
Q9Y5A7,2
P80303,1
Q15165,5
P39060,8
O75569,1
Q9UQQ2,3
Q13163,8
Q6EEV6,3
Q12778,5
P30837,1
Q96L46,3
P18847,1
Q8WZ19,5
Q9UBR1,1
Q9Y2Z9,3
P00750,4
Q5T6F0,1
Q07687,6
Q9HB65,1
Q9Y2C4,6
Q9BZS1,3
Q06547,1
Q92551,3
Q9UKI8,1
O43248,5
O43679,1
Q92802,1
Q4G0N4,6
Q16236,1
Q8IWS0,1
P60510,3
Q14691,1
Q86SE5,1
P29558,3
Q9HCK4,4
O75581,1
P21912,3
Q9BSV6,3
P17947,3
Q9UGM6,3
Q96BN2,5
Q8NHR7,6
Q9BVW5,6
P13051,3
O14978,1
O60783,1
Q13043,2
P17676,1
O95166,4
P80098,6
P19875,8
O94992.1,1
P18065,7
Q96SI1,1
O14530,1
Q719H9,1
Q6UWP2,2
Q8NBZ0,6
Q9GZN7,6
Q6AI12,1
Q9UFW8,6
Q6IBS0,2
Q53HC0,3
A6NGB7,1
Q96AB6,3
Q9P2A4,1
Q14135,1
Q5VZV1,1
P35916,4
Q9UBU3,1
Q8N998,1
O60662,1
P17980,2
P31939,2
Q15008,3
Q9BUB5,3
P01031,7
Q7Z6L0,1
Q9BTK6,2
P49841,2
Q96BW5,1
P37231,1
Q14814,1
Q8N427,6
Q9UBL6,1
P0CG13,1
Q9H2A7,5
O15520,1
P11216,8
Q7KZF4,3
Q15276,2
Q86W54,1
O15327,1
P55075.2,3
Q8N1G2,6
A6XGL0,1
Q9UN36,1
Q9Y6X0,1
Q9UMY4,8
Q9H165,1
Q5TDP6,1
Q16799,5
P78556,6
Q9Y5W9,2
Q15041,2
P20042,2
P02743,7
P10721,8
P35625,8
P09327,2
Q15910,6
Q96KC8,3
P35712,1
P63010,2
O14920,3
Q08AM6,1
Q96I24,3
P48382,1
O75146,1
P55072,7
P23368,8
P29144,3
Q9C0B1,3
Q13228,1
Q9Y6H5,3
Q8IY22,3
Q9Y6A9,3
Q9BXU8,3
Q5R372,2
Q04637,3
Q9UDY8,1
P53667,5
Q13568,3
Q5VWP3,6
Q9UBB4,1
P01189,1
P05156,7
P17936,8
P41159,5
P14780,8
P05164,4
P01236.1,4
Q92993,2
Q9BWS9,1
Q01973,8
Q92608,3
P02794,3
O75197,3
Q8NEB9,1
Q16849,5
Q9H4A3,1
Q9BXJ3,5
P01033,7
P15692,4
P41273,6
P33681,1
O15394,4
P01034,5
Q9UJZ1,3
P52803,3
Q15303,6
P09758,1
P30519,1
P41236.1,1
Q08431,1
Q08334,3
P42701.1,1
P78552,3
P31785,2
Q6UX15,5
P36941,8
P22897,4
P07333.1,7
Q04912,3
P68402,3
P17252,2
P32942,3
Q03405,4
P19438,8
Q16288,5
Q02223,5
P07585,3
P06732,1
P00533,8
P08631,8
P14210,3
P10809,2
P01024,5
P24592.1,7
Q16674,5
P14555,3
P13725,5
P16284,3
P02776,7
P07225,4
P05543,7
Q9UNG2,3
P26992.1,4
Q12904,5
Q99062,1
P48788,4
Q9Y286,3
Q15465,1
Q9HC73,3
P02647,4
P20160.1,1
P43026,1
O95750,5
P08833,2
Q14005,8
Q96PD4,1
P16619,3
P08254,6
P09237,8
P00441,3
P04114,3
P36896,6
Q9Y2N7,1
Q15389,8
O00253,3
P33151,4
P78423,5
O43278,4
P14770,5
Q9Y5K2,1
P80188,6
P08581,4
O43291,1
P35590,4
O60488,3
P55008,4
P01031.1,4
P27361,8
P04150,1
Q9BY41,8
P52292,1
Q05655,6
P63000,8
P20226,1
P11387,1
P63279,8
P01011,7
P10643,7
P20273,3
P21741,3
P12004,6
O14788,1
P05121,4
Q7L2Z9,6
P02649,7
Q5T4W7,1
P99999,3
P08684,3
P00746,7
P10912,1
P05019,8
P04070,7
P12272,1
P15514,3
P18075,1
P35520.1,1
P16671,4
Q12860,7
P29279,3
Q02413,5
Q9UNE0,1
P42830,1
P09341,5
P01579,1
Q96F46,8
Q13449,1
P11226,1
P18031,3
Q9Y336,3
Q03167,7
Q969D9,1
P16410,6
P08697,4
P09038,3
P55773,7
Q9NNX6,3
Q9UHD0,4
P01584,3
O14625,5
P10147,1
P02144,1
P09486,7
P55774,7
P22102,1
P48023,1
P00738,7
P24394,6
P26718.1,1
P17931,4
P60568,3
O95998,4
P18428,7
P00742,4
Q99969,4
Q9HAV5,1
P28482,2
Q8NEV9,6
Q9NR28,5
P49767,1
P09429,8
P01589,1
P48061,5
P0CG47,1
P49368,3
Q9UNA0,1
P35475,3
P15848,3
Q02083,4
Q9UHI8,1
Q76LX8,8
P53634.1,1
P25774,8
P08709,7
P06681,4
P54108,6
P98073,1
Q96KP4,3
Q9HCN6,2
P10915,3
P14735,5
P04406,7
P22557,1
Q9NQ76,5
Q9NQ76.1,6
Q9NR71,3
P14543,3
P07093.1,5
P07949,3
P13686,4
Q76M96,3
P02750,1
Q15582,7
P21810,4
P00736,7
Q6YHK3,1
P06734,5
P09326,4
P0CG37,3
P49908,8
Q9NR61,1
P12318,3
P31994,3
O75015,5
P12314,1
P22830,6
P05546,4
O43464,2
Q13007,1
Q14114,3
Q9BY67,3
Q6NW40,3
Q6ZVN8,1
P10646,7
P35442,4
P35443,7
Q03154,5
P01008,7
Q96GD4,1
P13497,4
P49336,3
O96017,6
Q16610,7
Q9UGM5,8
P36969,2
Q9UPY5,3
P05154,7
P48736,4
Q9Y243,8
P53350,1
P00797,8
Q9UHD2,1
P10415,3
Q16548,1
Q9HCJ2,1
Q13557,2
P23946,3
P68400,1
P29320,6
P36888,3
P12544,3
Q13478,4
P10145,1
P06213,4
Q4G0M1,6
P09619,5
Q96GW7,3
P33908,6
P17612,8
P10586,3
P16581,8
O75716,5
O15392,3
P40238,1
P07996,5
P04629,3
P01019,4
P61769,5
P05230,6
O43927,1
P04040,7
P80162,5
P01563,6
P81172,3
O00626,7
Q01469,1
P48061.1,7
Q92583,1
P01282,6
P49190,1
Q4KMQ2,1
P29965,6
O94907,4
P20711,6
Q15848,5
P13500,1
O60609,3
P32970,1
P01009,7
P02765,5
Q14012,3
P42574,2
Q13231,1
Q9BXN2,1
P42892,3
O00602,4
P15586,3
Q04756,8
O95711,5
Q495T6,1
P36507,4
Q14982,5
P30533,4
Q9UIB8,4
P35968,4
P01023,8
P00747,7
P46527,1
P10082,1
P43489,1
P22004,1
P05113.1,3
P04070.1,1
P35354,1
Q02763,3
Q13443,3
Q9BY76,4
Q16790,1
P07451,3
P12277,1
Q9GZV9,1
P21802,1
Q04759,3
P60484,1
O60603,1
P43403,1
O00170,2
P62937,7
Q9NP97,2
O95571,3
P40925,8
Q06830,8
P24666,4
P60900,3
P07202,5
P68036,5
Q14974,8
Q9UK53,4
P20700,1
P07195,2
P18669,2
Q15109,5
P17213,5
P13671,7
P00751,7
P10767,1
P02751,7
P19883,1
Q9NYY1,1
P13232,6
P02778,1
P20783,1
P34130,1
P01127,8
P00747.1,3
P00747.2,8
P03952,7
P24821,4
P61812,1
P00734.1,3
P00749,3
P08603,7
P08253,8
P02787,7
P52209,8
O43488,8
P14550,2
P23528,3
Q9NP79,8
P08069,5
Q01638,5
P14618,8
Q9UNZ2,3
Q8IVD9,1
P27169,1
P30086,2
P62826,2
Q14498,1
P29401,7
P60174,8
Q9H773,4
P29350,3
Q9BXJ7,6
Q9BWV1,3
P02741,7
P05362,3
Q9UIK4,3
Q99988,8
Q07817,5
Q9BWP8,5
Q6UWV6,5
O75356,4
Q96P31,1
Q14515.1,4
P07951,5
P05155,4
P01024.1,5
P21781,3
Q01344.1,1
P20809,1
P39900,3
P04085,4
Q9Y240,5
Q10588,8
P45973,1
P10909,8
Q96DA6,1
Q9UHX3,3
Q9NZU1,1
Q16719,3
P06239,1
P19174,1
O60880,1
P01298,3
P05231,1
P04141,1
P14061,1
P08700,1
P23284,3
P30101,2
P43652,7
P08185,1
Q14624,7
O95881,3
P31947,4
P14151,4
P29317,1
P09919,1
P51654,1
P01583,1
P36894,6
Q13873,1
Q16620,4
P03950,4
P00742.1,4
P01308,6
P80098.1,1
P01275,1
P01024.2,7
Q14019,1
P17813,3
P01042,7
Q99731,1
P03956,8
O14944,1
O95994,1
P04083,8
P07355,1
P06576,3
Q07021,3
P00915,7
P00918,1
P46108,2
Q07507,3
Q01469.1,1
P22455,1
P07359,3
P15428,3
P04196,4
Q16539,2
P04179,8
P26038,1
P43490,3
P00568,8
O00299,8
P16333,1
Q13093,8
P30041,7
P09936,1
Q15181,5
P30566,5
Q86VB7,5
Q8IXJ6,4
P07478,5
P04818,1
Q9NZQ7,1
Q9BZW8,6
Q01151,1
Q01151.1,1
P08174,8
Q9UHF4,1
Q5VWK5,3
P16871,1
P78504,3
Q9Y219,1
Q14108,1
P46531,8
Q92823,1
Q9HDB5,5
P41217,3
Q96MS0,1
Q9NP84,1
Q02241,1
P04035,6
P30405,8
Q08499,1
P29597,5
P27797,1
P15498,2
P51671,4
P00734.2,7
P42081,1
P06702,5
Q92851,3
P16870,3
Q9Y625,1
P22626,3
P18510,3
Q8N0W4,1
Q99983,8
Q01105,8
Q96RJ3,1
P48357,1
P26842,5
Q9Y6Q6,1
P05413,8
P48788.1,5
Q13740,8
P54826,4
P62993,8
O60243,3
P05771,8
P13501,7
P20936,1
P31948,2
Q08629,3
P07339,5
P01133.1,3
Q9Y5U5,1
P11362,3
Q08830,7
P06127,8
Q8NBM8,3
P55081,6
P58499,3
Q9NS98,3
Q9UGN4,8
Q9NQ79,3
Q9H488,4
Q9NZC2,5
Q9Y2I2,3
Q8NBJ5,3
P05160,7
Q14116,3
P14314,4
P01375,1
Q9H4F8,8
P22105,8
Q92854,3
Q9Y6N7,4
Q13510,3
Q9BXP8,1
O95467,1
P02771,1
P55957,3
P01138,1
P01024.3,5
P13385,1
P01588,1
P39905,1
P15260,1
P15248,6
P42702,3
Q96KQ7,3
Q13253,5
P80511,5
P10636,6
P04075,3
P05089,3
Q92934,2
P24534,6
P63241,8
P07492,6
P11142,5
P15531,3
P50542,6
Q06323,3
O43508,1
P01270.1,1
P61278,1
O43557,1
P15907,1
Q9BS26,4
Q9NZK5,4
Q9UKZ9,8
P04637,5
Q9BRR6,3
Q16651.1,4
O43240,3
P42081.1,5
Q96SM3,5
Q8WWZ8,1
Q8NBI6,3
O75973,1
P55103,8
Q86XP6,6
Q7Z5L3.1,3
Q96MK3,3
Q86UW8,1
P40967,5
A6NGN9,3
Q9H2R5,3
P05305,1
Q9Y4K0,1
O15394.1,3
Q9UJA9,3
Q9Y6Z7,1
Q14435,1
P23352,3
Q96FE5,4
Q15063,8
P0CG48,4
P0CG47.1,8
P06307,1
O00469,3
Q13145.1,5
Q9HCN8,1
Q9ULW5,3
Q9BT88,1
Q8N807,1
Q96DB5,3
Q8N475,1
P06729,1
Q8IYS5,6
O75830,1
Q9HBE4,1
Q9UJ68,1
P08217,5
P15169,3
Q06033,3
Q8TDQ0,3
P05000,1
O14994,6
Q9ULH4,1
Q9H3T2,1
P14415,5
P20963.1,1
Q5T7V8,6
Q86WD7,3
Q96HD1,3
P67936,8
P36955,4
P18084,1
Q6UWE3,1
Q13162,3
O43916,1
O95249,3
P02753,7
Q16769,3
Q9H2K0,2
Q68D85,1
O00264,8
Q96KN2,4
P08567,7
P00738.1,7
P04278,7
P04745,3
Q92186,1
P09693,1
Q9P0K1,5
Q13291,3
P19827,7
Q8WXD2,4
Q9ULB5,4
O95727,1
Q9NXW2,3
Q9H819,1
A6NNA5,1
Q68G75,3
P40225,1
P07766,3
Q8N7P1,6
Q9Y287,3
P48740,1
Q8N5K1,1
Q9BUD6,4
P14174,3
P29323,3
P05060,1
Q6X4U4,6
P06276,7
Q14956,4
P0C7M8,1
P00995,3
O00548,5
P04004,5
O95897,7
P59901,3
O00300,4
Q9NWH9,1
P30048,2
P20333,4
Q14118,7
P07492.1,1
Q04721,5
P35222,1
P35222.1,3
Q9BXY4,1
P37840,2
P08294,7
O60930,6
Q12805,5
P41159.1,8
Q14145,1
P01024.4,8
Q6E0U4,1
P09668,4
O95866,1
Q504Y2,5
A6NI73,4
P02786,4
Q13145.2,1
P50591,1
O75121,1
Q8IUL8,3
P27986,1
Q9NXS2,5
P09874.1,1
Q92859,5
Q13586,2
Q14289.1,1
Q8N428,3
O75354,1
Q06413,1
Q6UVK1,1
P09919.1,1
Q96DZ1,3
Q6P179,3
Q9ULB1,1
P49746,8
Q9UHN6,1
Q86U17,8
O95631,1
Q16186,1
Q5VZ66,1
P55854.1,3
P50461,1
P22894,3
P58499.1,8
P04155,3
Q07325,1
P47929,5
O00182,1
P37802,2
P01189.1,1
P36955.1,7
O95954,5
O15031.1,4
P16471,1
Q71RG4,1
P11117,1
Q9P0M4,1
O75509,4
P48061.2,4
P16562,3
P16070,6
Q9Y680,3
P55001,1
P23468,5
O75144,1
P19823,7
Q30KP8,1
P14784,3
Q5T1H1,1
P21583,3
Q8N539,1
P10253,4
Q96PE7,2
Q15661,7
P43235,1
O14519,6
P07911,4
Q969J5,3
P25445,5
P51159,1
O95831,5
Q9NX94,1
Q96PZ7,1
P16083,3
Q8NFT8,1
Q4KMG9,3
Q9NVH1,3
Q9NPR2,1
Q9UPQ9,1
Q07960,1
P00374,1
P49789,3
P15559,3
P35222.2,1
P35609,1
Q99497.2,1
P51946,1
P15121.1,2
P61586,8
P21673,1
P19838,2
P26232,3
P11474,1
Q96FV9,1
P46109,2
Q13426,1
Q8TED9,6
O95271,1
O75899.1,6
Q7Z408,4
