"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-449147","Signaling by Interleukins","19/83","460/11214",0.041304347826087,5.58056574122577,8.66255263095933,6.8878988846893e-10,3.1546576891877e-07,2.81316291290468e-07,"IL1RL1/S100A12/CCL22/SAA1/TALDO1/HGF/HMOX1/ANXA2/IL12B/IL6/CSF2RB/HSPA8/TIMP1/IL27/CCL19/PRTN3/IL22RA2/CNTFR/IL2RB",19
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","8/83","108/11214",0.0740740740740741,10.0080321285141,8.12261437809643,1.23564944745222e-06,0.000282963723466558,0.000252332624006032,"CCL22/SAA1/HGF/HMOX1/IL12B/IL6/HSPA8/TIMP1",8
"R-HSA-114608","Platelet degranulation","8/83","129/11214",0.062015503875969,8.37881759596526,7.27857978693585,4.72008925664609e-06,0.000717095829537478,0.000639469505540201,"ACTN2/KNG1/TF/SERPINA3/HGF/TIMP1/HSPA5/AHSG",8
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+","8/83","134/11214",0.0597014925373134,8.06617514835461,7.10558408179659,6.2628456728164e-06,0.000717095829537478,0.000639469505540201,"ACTN2/KNG1/TF/SERPINA3/HGF/TIMP1/HSPA5/AHSG",8
"R-HSA-8957275","Post-translational protein phosphorylation","7/83","108/11214",0.0648148148148148,8.7570281124498,6.99457408439289,1.43786185589687e-05,0.00131708146000154,0.00117450610544839,"KNG1/TF/IL6/SERPINC1/SERPIND1/TIMP1/AHSG",7
"R-HSA-6783783","Interleukin-10 signaling","5/83","47/11214",0.106382978723404,14.3732376313766,7.93323096802587,2.36378926038615e-05,0.00180435913542809,0.00160903549654355,"CCL22/IL12B/IL6/TIMP1/CCL19",5
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","7/83","125/11214",0.056,7.56607228915663,6.37451783331443,3.71726046460694e-05,0.0024321504182714,0.00216886775980074,"KNG1/TF/IL6/SERPINC1/SERPIND1/TIMP1/AHSG",7
"R-HSA-1474228","Degradation of the extracellular matrix","7/83","140/11214",0.05,6.75542168674699,5.91727527056866,7.65910279291248e-05,0.0043848363489424,0.00391017353111848,"COL1A1/COL10A1/ELANE/MMP8/TIMP1/MMP7/HTRA1",7
"R-HSA-1592389","Activation of Matrix Metalloproteinases","4/83","33/11214",0.121212121212121,16.3767798466594,7.6386200521545,9.69507834985982e-05,0.00487694786253174,0.00434901349267367,"ELANE/MMP8/TIMP1/MMP7",4
"R-HSA-1442490","Collagen degradation","5/83","64/11214",0.078125,10.5553463855422,6.61960163006186,0.000106483577784536,0.00487694786253174,0.00434901349267367,"COL1A1/COL10A1/ELANE/MMP8/MMP7",5
"R-HSA-1474244","Extracellular matrix organization","10/83","321/11214",0.0311526479750779,4.20898547460872,5.03708618282884,0.000122473906296999,0.00501395215293414,0.00447118693481601,"COL1A1/COL10A1/ELANE/MMP8/TIMP1/MFAP2/MMP7/GDF5/HTRA1/PCOLCE2",10
"R-HSA-76002","Platelet activation, signaling and aggregation","9/83","262/11214",0.0343511450381679,4.64112940310862,5.14959302293883,0.000131369925404388,0.00501395215293414,0.00447118693481601,"ACTN2/KNG1/TF/SERPINA3/COL1A1/HGF/TIMP1/HSPA5/AHSG",9
"R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","4/83","39/11214",0.102564102564103,13.8572752548656,6.94528937169205,0.000188409365969774,0.00663780689339666,0.00591925781346335,"KNG1/SERPINC1/SERPIND1/PRTN3",4
"R-HSA-140875","Common Pathway of Fibrin Clot Formation","3/83","22/11214",0.136363636363636,18.4238773274918,7.06374739813402,0.000543961462700801,0.0177953107083548,0.0158689509419482,"SERPINC1/SERPIND1/PRTN3",3
"R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation","3/83","23/11214",0.130434782608696,17.6228391828182,6.8907665898743,0.000622226378669681,0.0189986454287143,0.0169420235034271,"KNG1/SERPINC1/SERPIND1",3
"R-HSA-375276","Peptide ligand-binding receptors","7/83","201/11214",0.0348258706467662,4.70526883654019,4.57717796748626,0.000703039934830505,0.0201245181345232,0.0179460193890945,"CCL22/AGT/SAA1/KNG1/CXCL12/ECE1/CCL19",7
"R-HSA-6798695","Neutrophil degranulation","11/83","479/11214",0.022964509394572,3.10269889579194,4.06140860702787,0.000768635480370153,0.0202491442826489,0.0180571546349524,"S100A12/SERPINA3/ELANE/ANXA2/HSPA8/S100A9/MMP8/FTL/PRTN3/SERPINB1/AHSG",11
"R-HSA-447115","Interleukin-12 family signaling","4/83","57/11214",0.0701754385964912,9.48129359543437,5.54317608376523,0.0008178994460631,0.0202491442826489,0.0180571546349524,"TALDO1/ANXA2/IL12B/IL27",4
"R-HSA-917937","Iron uptake and transport","4/83","58/11214",0.0689655172413793,9.31782301620274,5.48406110564704,0.000873576918904628,0.0202491442826489,0.0180571546349524,"TF/HMOX1/TFRC/FTL",4
"R-HSA-5684996","MAPK1/MAPK3 signaling","8/83","272/11214",0.0294117647058824,3.97377746279235,4.28723637140051,0.000884242108412617,0.0202491442826489,0.0180571546349524,"ACTN2/HGF/IL6/CSF2RB/GFRA3/MAP2K2/CAMK2D/IL2RB",8
"R-HSA-5683057","MAPK family signaling cascades","8/83","311/11214",0.0257234726688103,3.47545810250649,3.82292373848371,0.0020749868307284,0.0452544746892195,0.0403556336001314,"ACTN2/HGF/IL6/CSF2RB/GFRA3/MAP2K2/CAMK2D/IL2RB",8
