"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-449147","Signaling by Interleukins","15/82","460/11214",0.0326086956521739,4.45943796394486,6.50250485713954,9.9052706143847e-07,0.000495263530719235,0.000458770428455713,"HSPA8/MMP9/CCL3L1/CCL3L3/OSM/ANXA2/HMGB1/STAT5B/HNRNPA2B1/LCN2/TALDO1/BCL2L1/IL17F/IL6/CCL20",15
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","7/82","108/11214",0.0648148148148148,8.86382113821138,7.04770810449322,1.3270175380889e-05,0.00331754384522226,0.00307309324610062,"HSPA8/MMP9/OSM/LCN2/BCL2L1/IL17F/IL6",7
"R-HSA-977606","Regulation of Complement cascade","5/82","47/11214",0.106382978723404,14.5485210171251,7.98828955793833,2.2283416213593e-05,0.00363184960159399,0.00336423963095022,"ELANE/C9/C3/C6/C5",5
"R-HSA-75153","Apoptotic execution phase","5/82","51/11214",0.0980392156862745,13.4074605451937,7.62182138434399,3.33530274190501e-05,0.00363184960159399,0.00336423963095022,"DNM1L/HMGB1/DSG1/PRKCD/CTNNB1",5
"R-HSA-6798695","Neutrophil degranulation","13/82","479/11214",0.0271398747390397,3.71154335760477,5.20552484899563,4.01861700267878e-05,0.00363184960159399,0.00336423963095022,"HSPA8/MMP9/S100A9/ELANE/MMP8/ANXA2/FABP5/HMGB1/DSG1/PRKCD/LCN2/C3/BPI",13
"R-HSA-9702518","STAT5 activation downstream of FLT3 ITD mutants","3/82","10/11214",0.3,41.0268292682927,10.8679060928855,4.35821952191279e-05,0.00363184960159399,0.00336423963095022,"STAT5B/BCL2L1/FLT3",3
"R-HSA-166658","Complement cascade","5/82","58/11214",0.0862068965517241,11.7893187552565,7.07025383969069,6.25078978576274e-05,0.00446484984697339,0.00413586091088061,"ELANE/C9/C3/C6/C5",5
"R-HSA-9703648","Signaling by FLT3 ITD and TKD mutants","3/82","16/11214",0.1875,25.6417682926829,8.46531002221194,0.000197035936341299,0.0123147460213312,0.0114073436829173,"STAT5B/BCL2L1/FLT3",3
"R-HSA-6783783","Interleukin-10 signaling","4/82","47/11214",0.0851063829787234,11.6388168137001,6.27271044228948,0.000372935304038459,0.0207186280021366,0.0191919922546107,"CCL3L1/CCL3L3/IL6/CCL20",4
"R-HSA-5357801","Programmed Cell Death","7/82","199/11214",0.0351758793969849,4.81051599460718,4.65478166317727,0.000615820429624242,0.0307910214812121,0.0285222093720701,"ELANE/DNM1L/HMGB1/DSG1/PRKCD/BCL2L1/CTNNB1",7
"R-HSA-5668599","RHO GTPases Activate NADPH Oxidases","3/82","24/11214",0.125,17.094512195122,6.77406928553459,0.000682723378228997,0.0310328808285908,0.0287462475043788,"NCF1/S100A9/PRKCD",3
"R-HSA-380108","Chemokine receptors bind chemokines","4/82","59/11214",0.0677966101694915,9.27159983464241,5.46716237697374,0.000890434358737267,0.0371014316140528,0.0343676419161752,"CCL3L1/CCL3L3/CX3CL1/CCL20",4
"R-HSA-9682385","FLT3 signaling in disease","3/82","28/11214",0.107142857142857,14.6524390243902,6.20773389872885,0.00108201382224909,0.0408462033342338,0.0378364830885534,"STAT5B/BCL2L1/FLT3",3
"R-HSA-8957275","Post-translational protein phosphorylation","5/82","108/11214",0.0462962962962963,6.33130081300813,4.77801456657682,0.00114369369335855,0.0408462033342338,0.0378364830885534,"CP/CHGB/C3/TF/IL6",5
"R-HSA-109581","Apoptosis","6/82","166/11214",0.036144578313253,4.94299147810755,4.39257603797903,0.00133021766676554,0.0443405888921847,0.0410733876053921,"DNM1L/HMGB1/DSG1/PRKCD/BCL2L1/CTNNB1",6
