"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006935","chemotaxis","23/92","466/18805",0.0493562231759657,10.0885193133047,13.9298228585503,3.92995635275235e-17,5.26553161123344e-14,3.58001631548917e-14,"THBS4/S100A12/ADGRE2/SAA1/IL6/KDR/PLAU/SEMA4D/CXCL12/SEMA3G/CCL11/GPNMB/HGF/NOTCH1/S100A9/CCL8/ROBO2/IL6R/SMOC2/LBP/BMPR2/MMP2/APOA1",23
"GO:0042330","taxis","23/92","468/18805",0.0491452991452991,10.045405982906,13.8942200951938,4.31600951740446e-17,5.26553161123344e-14,3.58001631548917e-14,"THBS4/S100A12/ADGRE2/SAA1/IL6/KDR/PLAU/SEMA4D/CXCL12/SEMA3G/CCL11/GPNMB/HGF/NOTCH1/S100A9/CCL8/ROBO2/IL6R/SMOC2/LBP/BMPR2/MMP2/APOA1",23
"GO:0060326","cell chemotaxis","16/92","325/18805",0.0492307692307692,10.0628762541806,11.5559079376706,4.22219126772202e-12,3.43404889774724e-09,2.33479769751927e-09,"THBS4/S100A12/ADGRE2/SAA1/IL6/KDR/CXCL12/CCL11/HGF/NOTCH1/S100A9/CCL8/IL6R/SMOC2/LBP/MMP2",16
"GO:0008038","neuron recognition","8/92","48/18805",0.166666666666667,34.0670289855072,16.0835321559282,7.73472577954071e-11,4.71818272551983e-08,3.20787574435688e-08,"EPHB2/CRTAC1/CNTN6/NCAM2/NTM/ROBO2/AMIGO1/NRCAM",8
"GO:0097529","myeloid leukocyte migration","13/92","237/18805",0.0548523206751055,11.2119335901669,11.0929464701079,1.34768971764334e-10,5.21370710094992e-08,3.54478101427829e-08,"THBS4/S100A12/ADGRE2/SAA1/IL6/CXCL12/CCL11/KITLG/S100A9/CCL8/IL6R/LBP/MMP2",13
"GO:0007411","axon guidance","13/92","238/18805",0.0546218487394958,11.1648246255024,11.0653416110259,1.41995601128675e-10,5.21370710094992e-08,3.54478101427829e-08,"ECE1/NOTCH2/EPHB2/SEMA4D/CXCL12/SEMA3G/CNTN6/NOTCH1/DCC/CNTN1/ROBO2/NRCAM/BMPR2",13
"GO:0097485","neuron projection guidance","13/92","239/18805",0.0543933054393305,11.1181098781153,11.0379010095006,1.49573564371514e-10,5.21370710094992e-08,3.54478101427829e-08,"ECE1/NOTCH2/EPHB2/SEMA4D/CXCL12/SEMA3G/CNTN6/NOTCH1/DCC/CNTN1/ROBO2/NRCAM/BMPR2",13
"GO:0030595","leukocyte chemotaxis","12/92","234/18805",0.0512820512820513,10.4821627647715,10.2339906466185,1.56797703356702e-09,4.78232995237942e-07,3.25148921697583e-07,"THBS4/S100A12/ADGRE2/SAA1/IL6/CXCL12/CCL11/S100A9/CCL8/IL6R/LBP/MMP2",12
"GO:0050900","leukocyte migration","14/92","395/18805",0.0354430379746835,7.24463401210787,8.79480004283484,7.37267450622654e-09,1.99881397724364e-06,1.35898655225883e-06,"THBS4/S100A12/ADGRE2/SAA1/IL6/CXCL12/CCL11/KITLG/S100A9/CCL8/IL6R/ZAP70/LBP/MMP2",14
"GO:0010720","positive regulation of cell development","14/92","447/18805",0.0313199105145414,6.40185779593425,8.10459938197774,3.48903418546744e-08,7.39441662637118e-06,5.0274377062817e-06,"NOTCH2/IL6/EPHB2/SEMA4D/CXCL12/EGFR/NOTCH1/CDH5/KITLG/IL12RB1/ROBO2/ZAP70/AMIGO1/BMPR2",14
"GO:0010975","regulation of neuron projection development","14/92","448/18805",0.03125,6.38756793478261,8.09241671837733,3.58744526791396e-08,7.39441662637118e-06,5.0274377062817e-06,"EPHB2/EPO/SEMA4D/CXCL12/SEMA3G/NEGR1/S100A9/RTN4RL1/DCC/CNTN1/ROBO2/AMIGO1/NRCAM/BMPR2",14
"GO:0018108","peptidyl-tyrosine phosphorylation","10/92","198/18805",0.0505050505050505,10.3233421168204,9.24726627358612,4.5468105369379e-08,7.39441662637118e-06,5.0274377062817e-06,"THBS4/IL6/EPHB2/KDR/SEMA4D/EGFR/KITLG/EGF/IL6R/ZAP70",10
"GO:0018212","peptidyl-tyrosine modification","10/92","199/18805",0.050251256281407,10.2714660257811,9.21925372094014,4.76834703889638e-08,7.39441662637118e-06,5.0274377062817e-06,"THBS4/IL6/EPHB2/KDR/SEMA4D/EGFR/KITLG/EGF/IL6R/ZAP70",10
"GO:0007413","axonal fasciculation","5/92","21/18805",0.238095238095238,48.6671842650103,15.3243630498796,4.80304090209754e-08,7.39441662637118e-06,5.0274377062817e-06,"EPHB2/CRTAC1/NCAM2/AMIGO1/NRCAM",5
"GO:0106030","neuron projection fasciculation","5/92","21/18805",0.238095238095238,48.6671842650103,15.3243630498796,4.80304090209754e-08,7.39441662637118e-06,5.0274377062817e-06,"EPHB2/CRTAC1/NCAM2/AMIGO1/NRCAM",5
"GO:0007409","axonogenesis","14/92","459/18805",0.0305010893246187,6.23448896466799,7.96081007533143,4.84879778778438e-08,7.39441662637118e-06,5.0274377062817e-06,"ECE1/NOTCH2/EPHB2/SEMA4D/CXCL12/SEMA3G/CNTN6/NOTCH1/DCC/CNTN1/ROBO2/AMIGO1/NRCAM/BMPR2",14
"GO:0008037","cell recognition","9/92","158/18805",0.0569620253164557,11.6431618051734,9.41980795717806,7.95418114298369e-08,1.14165894052236e-05,7.76209875005715e-06,"EPHB2/CRTAC1/CNTN6/NCAM2/NTM/ROBO2/AMIGO1/NRCAM/LBP",9
"GO:0050920","regulation of chemotaxis","10/92","217/18805",0.0460829493087558,9.41945501903426,8.74671230861471,1.07569680443106e-07,1.45816677933988e-05,9.9140243496102e-06,"THBS4/IL6/KDR/CXCL12/NOTCH1/ROBO2/IL6R/SMOC2/LBP/BMPR2",10
"GO:0071621","granulocyte chemotaxis","8/92","122/18805",0.0655737704918033,13.4034212401996,9.63707919380596,1.47028069204266e-07,1.88814994136004e-05,1.28374646573918e-05,"THBS4/S100A12/ADGRE2/SAA1/CCL11/S100A9/CCL8/LBP",8
"GO:0022612","gland morphogenesis","8/92","127/18805",0.062992125984252,12.8757274905854,9.4155181410296,2.00632938490145e-07,2.44772184957977e-05,1.66419742663405e-05,"NOTCH2/IL6/CCL11/EGFR/HGF/NOTCH1/SOSTDC1/MMP2",8
"GO:0050767","regulation of neurogenesis","12/92","372/18805",0.032258064516129,6.59361851332398,7.64035659259723,2.63242731274691e-07,3.05862983004879e-05,2.07955160144819e-05,"IL6/EPHB2/SEMA4D/CXCL12/SEMA3G/CCL11/EGFR/NOTCH1/DCC/ROBO2/AMIGO1/BMPR2",12
"GO:0051960","regulation of nervous system development","13/92","454/18805",0.0286343612334802,5.85292568473473,7.33920511986474,3.14627183905543e-07,3.48950149422512e-05,2.37249972169922e-05,"IL6/EPHB2/SEMA4D/CXCL12/SEMA3G/CCL11/EGFR/NOTCH1/CBLN2/DCC/ROBO2/AMIGO1/BMPR2",13
"GO:0050770","regulation of axonogenesis","8/92","143/18805",0.0559440559440559,11.435086652478,8.7827862259021,4.99055326802667e-07,5.29432607564568e-05,3.59959356998171e-05,"EPHB2/SEMA4D/CXCL12/SEMA3G/DCC/ROBO2/AMIGO1/BMPR2",8
"GO:0050921","positive regulation of chemotaxis","8/92","146/18805",0.0547945205479452,11.2001191185229,8.67530625623161,5.8467050480669e-07,5.94415013220135e-05,4.04140664726028e-05,"THBS4/IL6/KDR/CXCL12/IL6R/SMOC2/LBP/BMPR2",8
"GO:0050671","positive regulation of lymphocyte proliferation","8/92","147/18805",0.054421768707483,11.1239278320024,8.64017402362606,6.15866121111635e-07,6.01085334204956e-05,4.08675792367131e-05,"IL6/EPHB2/EPO/KITLG/IL12RB1/IL13/CD55/ZAP70",8
"GO:0097530","granulocyte migration","8/92","149/18805",0.0536912751677852,10.9746133644587,8.57091650522135,6.82546712982149e-07,6.25806003182138e-05,4.25483287754551e-05,"THBS4/S100A12/ADGRE2/SAA1/CCL11/S100A9/CCL8/LBP",8
