"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","9/56","88/9447",0.102272727272727,17.2530438311688,11.8283286489259,1.84373237520776e-09,2.82091053406788e-07,2.3289251055256e-07,"5104/716/3818/735/3053/729/5345/5340/1380",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","11/56","298/9447",0.0369127516778524,6.2270493767977,7.0801096670454,1.07465026139479e-06,8.22107449967011e-05,6.78726480880918e-05,"2056/9173/6367/6387/1271/6354/3569/1435/3593/2057/3568",11
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","7/56","100/9447",0.07,11.80875,8.39076222760713,1.82798820679676e-06,9.32273985466346e-05,7.69679244967056e-05,"2056/7037/3569/1435/1380/2057/3568",7
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","11/56","362/9447",0.0303867403314917,5.12613456985004,6.18154836072583,7.09416615135556e-06,0.00027135185528935,0.000224026299516491,"1388/7059/7060/3082/2056/3791/6696/3569/1435/1277/2057",11
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","4/56","50/9447",0.08,13.4957142857143,6.84090468031425,0.000208261933102338,0.00637281515293154,0.00526135409942748,"7059/7060/3082/3569",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","5/56","100/9447",0.05,8.43482142857143,5.7716034520052,0.000299358338898904,0.00763363764192204,0.00630228081892429,"6367/6387/6354/3569/1435",5
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","7/56","233/9447",0.0300429184549356,5.0681330472103,4.85524409097108,0.000420376290500645,0.00860508321413301,0.00710429986718927,"88/7059/7060/7136/1158/2027/1277",7
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","6/56","168/9447",0.0357142857142857,6.02487244897959,5.07447549350706,0.000449938991588654,0.00860508321413301,0.00710429986718927,"2056/1271/3569/3593/2057/3568",6
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","6/56","184/9447",0.0326086956521739,5.50097049689441,4.76103429198129,0.000727947629395808,0.0123751096997287,0.0102168088336254,"9423/2048/6387/4756/56920/10507",6
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","6/56","203/9447",0.0295566502463054,4.98610133708656,4.43331356593286,0.00121366702224038,0.0184861268641554,0.0152620242428527,"7059/7060/3082/3791/6696/1277",6
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","3/56","37/9447",0.0810810810810811,13.6780888030888,5.96653103028725,0.00132906794448176,0.0184861268641554,0.0152620242428527,"3569/3593/335",3
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","6/56","216/9447",0.0277777777777778,4.6860119047619,4.23176261452467,0.00166801714279124,0.0212672185705883,0.0175580751872762,"3929/6648/337/3569/3593/335",6
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","4/56","89/9447",0.0449438202247191,7.58186195826645,4.81741783693221,0.00186089892035939,0.0219013488319221,0.0180816089427634,"7059/7060/6696/1277",4
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","3/56","43/9447",0.0697674418604651,11.7695182724252,5.46558004269678,0.00205857914797777,0.0224973292600428,0.0185736464479197,"5320/337/335",3
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","4/56","103/9447",0.0388349514563107,6.55131761442441,4.3743178530937,0.00316965162871117,0.032330446612854,0.0266918031891467,"735/3569/1277/3593",4
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","4/56","109/9447",0.036697247706422,6.19069462647444,4.20895088283022,0.00388521699586223,0.0361284394351736,0.0298274009784715,"3929/6696/3569/3593",4
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","4/56","110/9447",0.0363636363636364,6.13441558441558,4.182594335812,0.00401427104835262,0.0361284394351736,0.0298274009784715,"2056/7037/2027/3569",4
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","6/56","278/9447",0.0215827338129496,3.64093011305242,3.45128150457319,0.00581533444322412,0.049430342767405,0.0408093645138535,"1388/735/729/4851/3569/4685",6
