"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006959","humoral immune response","15/90","309/18805",0.0485436893203883,10.1429341963323,11.2376987479088,1.85120250683783e-11,5.00009797096897e-08,3.88752526435944e-08,"ST6GAL1/S100A9/ELANE/CCL3L1/CCL3L3/C9/C3/C6/BPI/IL17F/CX3CL1/TF/IL6/CCL20/C5",15
"GO:0006935","chemotaxis","14/90","466/18805",0.0300429184549356,6.27730090605627,7.99960330649671,4.38930990735073e-08,3.27068419291978e-05,2.54292365980435e-05,"ST6GAL1/S100A9/ELANE/DNM1L/CCL3L1/CCL3L3/HMGB1/PRKCD/CX3CL1/IL6/CCL20/ANOS1/ROBO3/C5",14
"GO:0042330","taxis","14/90","468/18805",0.0299145299145299,6.25047483380817,7.97643490837048,4.62885481225551e-08,3.27068419291978e-05,2.54292365980435e-05,"ST6GAL1/S100A9/ELANE/DNM1L/CCL3L1/CCL3L3/HMGB1/PRKCD/CX3CL1/IL6/CCL20/ANOS1/ROBO3/C5",14
"GO:0050900","leukocyte migration","13/90","395/18805",0.0329113924050633,6.87665260196906,8.18564926001853,4.84366411391304e-08,3.27068419291978e-05,2.54292365980435e-05,"ZAP70/S100A9/ELANE/DNM1L/HMGB1/STAT5B/CX3CL1/ADA/CD34/TNFRSF18/IL6/CCL20/C5",13
"GO:0070661","leukocyte proliferation","12/90","344/18805",0.0348837209302326,7.28875968992248,8.16334347407682,8.84098098525853e-08,4.77589792823666e-05,3.71321201380858e-05,"ST6GAL1/ZAP70/CD70/HMGB1/STAT5B/PRKCD/BCL2L1/FLT3/CX3CL1/ADA/CTNNB1/IL6",12
"GO:0032943","mononuclear cell proliferation","11/90","308/18805",0.0357142857142857,7.46230158730159,7.92982115066438,2.50927894978928e-07,9.67266177958709e-05,7.52039605225209e-05,"ST6GAL1/ZAP70/CD70/HMGB1/STAT5B/PRKCD/BCL2L1/FLT3/ADA/CTNNB1/IL6",11
"GO:0019730","antimicrobial humoral response","9/90","185/18805",0.0486486486486487,10.1648648648649,8.68707461644778,2.52824619390646e-07,9.67266177958709e-05,7.52039605225209e-05,"S100A9/ELANE/CCL3L1/CCL3L3/BPI/IL17F/CX3CL1/TF/CCL20",9
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","8/90","136/18805",0.0588235294117647,12.2908496732026,9.164040752173,2.86491278181032e-07,9.67266177958709e-05,7.52039605225209e-05,"S100A9/ELANE/CCL3L1/CCL3L3/BPI/IL17F/CX3CL1/CCL20",8
"GO:0032946","positive regulation of mononuclear cell proliferation","8/90","150/18805",0.0533333333333333,11.1437037037037,8.64959988268477,6.06133610006929e-07,0.000151267568262318,0.000117608994206171,"ST6GAL1/ZAP70/CD70/HMGB1/STAT5B/BCL2L1/ADA/IL6",8
"GO:0010562","positive regulation of phosphorus metabolic process","13/90","493/18805",0.026369168356998,5.50969123281496,7.03645375767398,6.16047112508514e-07,0.000151267568262318,0.000117608994206171,"FABP3/GPD1/MMP9/ELANE/SIRT1/OSM/PRKCD/C3/FLT3/TF/TNFRSF18/IL6/EFNA1",13
